projection_from,Date,Guinea,Liberia,Sierra.Leone,aggregated,y1.Guinea,ymin1.Guinea,ymax1.Guinea,y1.Liberia,ymin1.Liberia,ymax1.Liberia,y1.Sierra.Leone,ymin1.Sierra.Leone,ymax1.Sierra.Leone,y1.aggregated,ymin1.aggregated,ymax1.aggregated,y2.Guinea,ymin2.Guinea,ymax2.Guinea,y2.Liberia,ymin2.Liberia,ymax2.Liberia,y2.Sierra.Leone,ymin2.Sierra.Leone,ymax2.Sierra.Leone,y2.aggregated,ymin2.aggregated,ymax2.aggregated,y4.Guinea,ymin4.Guinea,ymax4.Guinea,y4.Liberia,ymin4.Liberia,ymax4.Liberia,y4.Sierra.Leone,ymin4.Sierra.Leone,ymax4.Sierra.Leone,y4.aggregated,ymin4.aggregated,ymax4.aggregated
2015-02-25,2015-02-26,46.5,40.285714285713766,203.5,290.28571428571377,51,36,68,188,157,221,115,93,140,355.5,318,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-04,2015-03-05,66,55.714285714286234,153,274.71428571428623,54,39,71,118,95,144,144,118,172,317,282,353,54,39,72,118,94,143,144,118,172,317,282,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-11,2015-03-12,104,183,132,419,59,43,78,75,57,95,146,120,174,281,247,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-18,2015-03-19,40,73,90,203,86,65,109,109,86,133,135,110,162,330,294,366,86,65,108,109,87,133,135,110,162,330,295,366,85,65,108,109,87,133,135,110,161.02499999999964,329,295,367
2015-03-25,2015-03-26,63,113,133,309,65,47,84,93,72,115,101,79,124,259,228,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-01,2015-04-02,23,150,162,335,60,43,79,86,67,108,99,78,123,246,216,278,60,44,79,86,66.97500000000001,108,99,78,123,246,215.72500000000002,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-08,2015-04-09,33,180,65,278,41,28,55,122,99,149,118,95,143,281,249,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-15,2015-04-16,25.5,170,66,261.5,33,22,47,127,102,154,97,77,121,258,227,291,33,21,47,127,103,153,98,77,121,258,228,291,33,22,47,127,103,153,97,76,120.02499999999964,258,228,291
2015-04-22,2015-04-23,3.9285714285715585,110,104,217.92857142857156,28,18,41,184,154.975,217,69,51,88,282,248,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-29,2015-04-30,11.571428571428442,242,69,322.57142857142844,15,8,25,194,160,228,70,53,89,280,246,314,15,8,25,193,162,226,70,53,89,280,246,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-06,2015-05-07,8,40,83,131,9,4,16,225,191,262,64,47,82,298.5,266,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13,2015-05-14,38,62,109,209,8,3,15,171,142,203,68,51,88,247,217,280,8,3,14.024999999999636,171,142,201,68,51,88,247,216,279,8,3,15,171,142,202,68,51,88,247,217,279.27499999999964
2015-05-20,2015-05-21,6,0,74,80,14,7,23,110,88,134.02499999999964,78,59,97,202,174,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-27,2015-05-28,11.8125,0,117.71428571428623,129.52678571428623,12,5,20,49,34,65,72,54,92,133,111,156,12,5,20,49,34,65,72,54,92,133,111,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-03,2015-06-04,17.1875,0,77.28571428571377,94.47321428571377,10,4,18,24,14,35,90,69,112,124,102,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-10,2015-06-11,11.333333333333485,0,64,75.33333333333348,12,5,20,8,3,14,90,70,113,110,90,132,12,5,20,8,3,15,90,70,113,110,90,131.27499999999964,12,5,20,8,2,15,90,70,112,110,90,132
2015-06-17,2015-06-18,36.666666666666515,0,94,130.66666666666652,12,5,21,1,0,4,73,54,93,87,69,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-24,2015-06-25,11,0,60,71,26,15,40,0,0,2,81,62,103,108,88,129,26,15,39,0,0,2,81,62,102,108,88,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-01,2015-07-02,19,4,36,59,23,13,35,0,0,1,69,50,88,93,74,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-08,2015-07-09,12,3,54,69,18,9,29,0,0,1,47,32,62,65,50,82,18,9.975000000000009,29,0,0,1,46,32,63,65,50,81,18,10,29,0,0,1,46,32,63,65,50,82
2015-07-15,2015-07-16,13.684210526315837,0,46,59.68421052631584,16,8,26,0,0,2,43,30,59,60,45,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-22,2015-07-23,5.157894736842081,0,35,40.15789473684208,15,7,25,0,0,2,38,26,53,54,40,69,15,7,25,0,0,2,38,25,53,54,40,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-29,2015-07-30,5.157894736842081,0.11764705882342241,116,121.2755417956655,9,3,17,0,0,2,33,22,47,43,31,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
