Projections_from,Date,Guinea,Liberia,Sierra Leone,y1.Guinea,ymin1.Guinea,ymax1.Guinea,y1.Liberia,ymin1.Liberia,ymax1.Liberia,y1.Sierra Leone,ymin1.Sierra Leone,ymax1.Sierra Leone,y2.Guinea,ymin2.Guinea,ymax2.Guinea,y2.Liberia,ymin2.Liberia,ymax2.Liberia,y2.Sierra Leone,ymin2.Sierra Leone,ymax2.Sierra Leone,y4.Guinea,ymin4.Guinea,ymax4.Guinea,y4.Liberia,ymin4.Liberia,ymax4.Liberia,y4.Sierra Leone,ymin4.Sierra Leone,ymax4.Sierra Leone
2014-09-17,2014-09-18,86,873,245,136,109,168,519,466,573.025,247,210.975,287,137,111.975,166,520,467.975,575.025,245,211,286.025,137,110,166,519,463.975,575,246,208,282.025
2014-09-24,2014-09-25,135,416,439,115,91,142,843,765.975,918.05,262,224,301.025,115,90.975,143.025,841.5,771,919,262,223,297,115,89.975,142,841,772.975,915.025,261,222.975,300
2014-10-01,2014-10-02,141,228,485,135,109,163,695,632,760,393,347,445,135,110,164,697,633,764,393,347,444,135,109,164.025,699,626,764.025,394,350,444.025
2014-10-08,2014-10-09,113,325,463,172,144.95,205,496,448,552,625,558,691,173,139,205,498,443.95,551,620,560.975,691,173,144,206.025,498,449,549.025,621,559,682
2014-10-15,2014-10-16,129,416,404.666666666667,154,127,185,383,340.95,430,660,593.975,730.05,154,127.975,186,382,342,428,658,590,722,154,129,185,382,340,431,659,594.95,721.025
2014-10-22,2014-10-23,76.6923076923076,479.333333333333,1578.33333333333,145,119,174.025,378,339,424.025,575,517.975,637,146,117.975,175.025,380,333,422.05,577,523.975,635,145,118,175,380,338.975,422,576,520,637
2014-10-29,2014-10-30,111.461538461539,838.833333333334,106.75,109,85,135,439,391,488.025,1513.5,1415.975,1618,109,88,133.025,438.5,391.95,487.025,1513.5,1415.975,1613.025,109,85,134,440,393.975,485,1512,1409.95,1613
2014-11-05,2014-11-06,149.846153846154,838.833333333333,26.25,109,86.975,132,708,644.975,769,946,875,1025.025,108,86,134,710,648,776,945,876,1021.05,110,88,133,706,644.975,768.025,943,869.975,1016
2014-11-12,2014-11-13,93,247,705,133,107.975,162,821,750.975,889.025,431,382.975,481,133,110,162,820,753,893,431,381,481.025,134,111,161,819,752.975,888,431,382,477.05
2014-11-19,2014-11-20,163,99,526,126,103,153.025,600,549,657,535,483,586,127,102,152,602,543.975,657.025,536,481.975,590,128,101,155,602,548,654,533.5,483,586
2014-11-26,2014-11-27,39.3333333333335,485.333333333333,713,132,108,157,336,297.975,378,526,473,578,132,104,160,335,293,379.025,527,475,583.025,131,106,158.025,335,297.975,376.05,529,476,579
2014-12-03,2014-12-04,118.666666666667,65.666666666667,535.5,89,68,108,382,339,430,638,582.975,694.025,88,69,109,382,338,428.025,638,582.975,696,89,69,112,381,340,425,636,581,695
2014-12-10,2014-12-11,124,78,508.5,94,73,117,233,201,269,635,578.975,696.025,94,73,117,233,200,265.025,637,579,692.025,94,73.975,119,233,202.975,267,634,576.975,692.025
2014-12-17,2014-12-18,181,65,648,111,88,135,130,107,153.025,474.5,426.975,527,111,88,134,130,106,155.025,473,429,526.025,110,88,135,130,106,157.025,474,427.975,524
2014-12-24,2014-12-25,110,156,442,150,126,179,64,47,80,553,495,604.025,151,123,183,65,49,82,554,501,606.025,151,124,182,64,46.975,82,553,501,609
2014-12-31,2015-01-01,74,139,455,133,106.975,160,57,42,72.025,561,509.975,615.025,133,108,158.025,57,41,75,561,509,616.025,134,108,162,57,42,73,565,508,616
2015-01-07,2015-01-08,25,174,223,103,80,127,71,54,90,472,425,524.025,103,81,128,71,54,90,473,424,519,103,82,128,70,53,88,471,423,521
2015-01-14,2015-01-15,65,147,216,57,41.975,75,111,89.975,134,342,304,384.025,58,41,76,112,89,136,342,302,387,58,42,74.025,112,89.975,135,343,301,382.025
2015-01-21,2015-01-22,46,144,178,56,41,72.025,96,76,119,227,194,261,56,40,73,97,76,119,229,195.975,262,56,40,72,96,75,116.025,228,197.975,259.05
2015-01-28,2015-01-29,58,123,222,45,30.975,61,120,98,148,175,147,204,45,32,61,122,98,146,174,146.975,204,45,33,62,121,97,143,175,148,204
2015-02-04,2015-02-05,81,136,204,44,31,61,134,109,164.025,165,137,195,44,30,59,135,109,161,164,138,193,43,29,59,135,109,162.025,164,134.975,194
2015-02-11,2015-02-12,52,126,159,46,32,61,160,131.975,190.025,144,119,168,46,32,61.025,160,133,189,143,119,170,46,32.975,62,160,132.975,188,143,119,168
2015-02-18,2015-02-19,64.5,240,159.5,44,31,61,144,117,171.025,129,105,155,45,30,61,144,117,172,129,107,153.025,45,31,61,145,114,173,130,106.975,154
2015-02-25,2015-02-26,46.5,40.2857142857138,203.5,49,35,66,188,158,223,115,92,140,49,35,66,190,159.975,222.025,116,92,140,49,34,65,189,159,223,114,92.975,138
2015-03-04,2015-03-05,66,55.7142857142862,153,53,37,71,118,94.975,146,145,120,172,52,38,69,119,95,144.025,145,120,171,53,38,70.025,119,93,144,146,120,173
2015-03-11,2015-03-12,104,183,132,57,42,77,75,57,95,147,121,174,58,42,78,75,57,96,146,121,175,58,43,78,75,57,95,147,121,173
2015-03-18,2015-03-19,40,73,90,85,65.975,106,110,87,134.025,135,109,162,85,64,108,109,86.975,133,135,110,161,84,64,107,111,88,135,136,110,162.025
