Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,Suspected Cases,Suspected Deaths,Confirmed Cases,Confirmed Deaths,Rule Outs,Long,Lat
Guinea,Guinea,Ebola,Humans,2758889,"PRO/AH/EDR> Ebola virus disease - West Africa (156): Sierra Leone, Liberia, Nigeria, UNICEF",http://promedmail.org/direct.php?id=20140908.2758889,9/8/14 21:23,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2758889,"PRO/AH/EDR> Ebola virus disease - West Africa (156): Sierra Leone, Liberia, Nigeria, UNICEF",http://promedmail.org/direct.php?id=20140908.2758889,9/8/14 21:23,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2758889,"PRO/AH/EDR> Ebola virus disease - West Africa (156): Sierra Leone, Liberia, Nigeria, UNICEF",http://promedmail.org/direct.php?id=20140908.2758889,9/8/14 21:23,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2758805,"PRO/AH/EDR> Ebola virus disease - West Africa (155): hospital ships, military medical",http://promedmail.org/direct.php?id=20140908.2758805,9/8/14 21:12,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2758805,"PRO/AH/EDR> Ebola virus disease - West Africa (155): hospital ships, military medical",http://promedmail.org/direct.php?id=20140908.2758805,9/8/14 21:12,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2758805,"PRO/AH/EDR> Ebola virus disease - West Africa (155): hospital ships, military medical",http://promedmail.org/direct.php?id=20140908.2758805,9/8/14 21:12,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2755900,"PRO/AH/EDR> Ebola virus disease - West Africa (154): hospital ships, military logistics",http://promedmail.org/direct.php?id=20140907.2755900,9/7/14 22:26,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2755900,"PRO/AH/EDR> Ebola virus disease - West Africa (154): hospital ships, military logistics",http://promedmail.org/direct.php?id=20140907.2755900,9/7/14 22:26,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2755900,"PRO/AH/EDR> Ebola virus disease - West Africa (154): hospital ships, military logistics",http://promedmail.org/direct.php?id=20140907.2755900,9/7/14 22:26,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2754003,PRO/AH/EDR> Ebola virus disease - West Africa (153): hospital ships,http://promedmail.org/direct.php?id=20140906.2754003,9/6/14 16:46,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2754003,PRO/AH/EDR> Ebola virus disease - West Africa (153): hospital ships,http://promedmail.org/direct.php?id=20140906.2754003,9/6/14 16:46,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2754003,PRO/AH/EDR> Ebola virus disease - West Africa (153): hospital ships,http://promedmail.org/direct.php?id=20140906.2754003,9/6/14 16:46,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2751783,PRO/EAFR> Ebola virus disease - West Africa (32): WHO update,http://promedmail.org/direct.php?id=20140905.433868,9/5/14 13:44,Breaking,,,,,,-10.94177,10.43821
Guinea,Guinea,Ebola,Humans,2751765,"PRO/AH/EDR> Ebola virus disease - West Africa (151): WHO, UN, African Union",http://promedmail.org/direct.php?id=20140905.2751765,9/5/14 17:52,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2751765,"PRO/AH/EDR> Ebola virus disease - West Africa (151): WHO, UN, African Union",http://promedmail.org/direct.php?id=20140905.2751765,9/5/14 17:52,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2751765,"PRO/AH/EDR> Ebola virus disease - West Africa (151): WHO, UN, African Union",http://promedmail.org/direct.php?id=20140905.2751765,9/5/14 17:52,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2750459,"PRO/SOAS> Ebola virus disease - West Africa (16): WHO, UK vaccine trial, Sierra Leone",http://promedmail.org/direct.php?id=20140906.2750459,9/6/14 13:20,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2750459,"PRO/SOAS> Ebola virus disease - West Africa (16): WHO, UK vaccine trial, Sierra Leone",http://promedmail.org/direct.php?id=20140906.2750459,9/6/14 13:20,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2750459,"PRO/SOAS> Ebola virus disease - West Africa (16): WHO, UK vaccine trial, Sierra Leone",http://promedmail.org/direct.php?id=20140906.2750459,9/6/14 13:20,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2748198,"PRO/AH/EDR> Ebola virus disease - West Africa (150): Guinea, CDC, military aid, vaccine",http://promedmail.org/direct.php?id=20140904.2748198,9/4/14 10:57,No Tag,,,,,,-10.94177,10.43821
Guinea,Guinea,Ebola,Humans,2747465,"PRO/SOAS> Ebola virus disease - West Africa (15): WHO, Nigeria, costs, China drug",http://promedmail.org/direct.php?id=20140904.2747465,9/4/14 12:34,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2747465,"PRO/SOAS> Ebola virus disease - West Africa (15): WHO, Nigeria, costs, China drug",http://promedmail.org/direct.php?id=20140904.2747465,9/4/14 12:34,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2747465,"PRO/SOAS> Ebola virus disease - West Africa (15): WHO, Nigeria, costs, China drug",http://promedmail.org/direct.php?id=20140904.2747465,9/4/14 12:34,No Tag,,,,,,-9.30791,6.44809
Liberia,Liberia,Ebola,Humans,2743746,"PRO/AH/EDR> Ebola virus disease - West Africa (148): CDC, WHO, Nigeria, Liberia, more",http://promedmail.org/direct.php?id=20140903.2743746,9/3/14 2:18,No Tag,,,,,,-9.30791,6.44809
Liberia,Liberia,Ebola,Humans,2740572,"PRO/AH/EDR> Ebola virus disease - West Africa (147): Liberia, new drug, prevention",http://promedmail.org/direct.php?id=20140902.2740572,9/2/14 3:48,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2739834,"PRO/EAFR> Ebola virus disease - West Africa (30): Senegal ex Guinea, WHO update",http://promedmail.org/direct.php?id=20140901.432880,9/1/14 10:44,Breaking,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2738054,"PRO/AH/EDR> Ebola virus disease - West Africa (145): Sierra Leone, children in dire need",http://promedmail.org/direct.php?id=20140831.2738054,8/31/14 13:16,No Tag,,,,,,-11.79192,8.56028
Guinea,Guinea,Ebola,Humans,2737442,"PRO/EAFR> Ebola virus disease - West Africa (29): Senegal ex Guinea, 1st case",http://promedmail.org/direct.php?id=20140831.432649,8/31/14 1:18,Breaking,,,,,,-10.94177,10.43821
Guinea,Guinea,Ebola,Humans,2737160,"PRO/AH/EDR> Ebola virus disease - West Africa (144): Liberia, new drugs, prevention, more",http://promedmail.org/direct.php?id=20140830.2737160,8/30/14 21:14,No Tag,,,,,,-10.94177,10.43821
